city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3366880,Hermanus,ZA,-34.42,19.23,11/05/20,            64,90,100,5.01
5386754,Redlands,US,34.06,-117.18,11/05/20,            87.4,12,96,1.77
286621,Salalah,OM,17.02,54.09,11/05/20,            75.2,57,0,6.93
935215,Saint-Philippe,RE,-21.36,55.77,11/05/20,            71.6,64,39,5.82
2276492,Harper,LR,4.38,-7.72,11/05/20,            79.2,86,0,7.34
5039675,Northfield,US,44.46,-93.16,11/05/20,            65.07,34,1,8.05
1246294,Galle,LK,6.04,80.22,11/05/20,            79.2,82,100,3.47
2122090,Pevek,RU,69.7,170.31,11/05/20,            29.01,95,100,22.77
4034188,Moerai,PF,-22.43,-151.33,11/05/20,            77.41,82,96,15.84
1283285,Jumla,NP,29.27,82.18,11/05/20,            39.49,64,0,4.29
964420,Port Elizabeth,ZA,-33.92,25.57,11/05/20,            66.2,93,20,10.29
2163355,Hobart,AU,-42.88,147.33,11/05/20,            52.45,58,40,12.75
1176608,Islamkot,PK,24.7,70.18,11/05/20,            76.3,63,0,8.32
3381303,Kourou,GF,5.16,-52.65,11/05/20,            82.4,78,0,3.36
3445026,Vila Velha,BR,-20.33,-40.29,11/05/20,            78.93,69,75,11.41
3833367,Ushuaia,AR,-54.8,-68.3,11/05/20,            50,46,75,18.34
1635815,Maumere,ID,-8.62,122.21,11/05/20,            80.74,73,0,3.56
2077963,Albany,AU,-35.02,117.89,11/05/20,            57.2,71,90,10.29
2161515,Kiama,AU,-34.68,150.87,11/05/20,            54.05,84,84,18.54
3423146,Ilulissat,GL,69.22,-51.1,11/05/20,            19.4,67,75,11.41
1015776,Bredasdorp,ZA,-34.53,20.04,11/05/20,            64.4,82,100,5.82
934322,Mahébourg,MU,-20.41,57.7,11/05/20,            73.4,73,40,6.93
3369157,Cape Town,ZA,-33.93,18.42,11/05/20,            64.49,88,90,12.75
1517637,Ushtobe,KZ,45.25,77.98,11/05/20,            37.27,69,50,9.33
2030065,Mandalgovi,MN,45.76,106.27,11/05/20,            26.26,69,0,17.83
3139597,Sistranda,NO,63.73,8.83,11/05/20,            50,93,75,25.28
2312895,Mbandaka,CD,0.05,18.26,11/05/20,            71.94,94,100,1.01
5887916,Athabasca,CA,54.72,-113.29,11/05/20,            32.74,92,99,5.82
2189343,Kaeo,NZ,-35.1,173.78,11/05/20,            64.99,92,93,6.58
1295765,Sittwe,MM,20.15,92.9,11/05/20,            76.6,85,0,5.17
3573061,Saint George,BM,32.38,-64.68,11/05/20,            74.84,57,20,20.8
3831208,Qaanaaq,GL,77.48,-69.36,11/05/20,            -6.25,84,96,5.1
4030556,Rikitea,PF,-23.12,-134.97,11/05/20,            74.25,68,57,11.36
2459775,Bougouni,ML,11.42,-7.48,11/05/20,            84.18,34,0,0.51
6690296,Saint-Joseph,RE,-21.37,55.62,11/05/20,            71.6,64,20,5.82
2075265,Busselton,AU,-33.65,115.33,11/05/20,            54.48,81,0,7
2017155,Saskylakh,RU,71.92,114.08,11/05/20,            5.05,93,100,8.66
4034551,Faanui,PF,-16.48,-151.75,11/05/20,            79.3,81,0,18.28
4032243,Vaini,TO,-21.2,-175.2,11/05/20,            71.6,88,75,9.17
933995,Souillac,MU,-20.52,57.52,11/05/20,            73.4,73,40,6.93
